,State.Code,State.Name,Tier 1 Code,Tier 1 Description,Pollutant,year,Sum
147,12,FL,16,PRESCRIBED FIRES,CO,1996,NA
148,13,GA,1,FUEL COMB. ELEC. UTIL.,CO,1996,7.36811
149,13,GA,2,FUEL COMB. INDUSTRIAL,CO,1996,28.58178
150,13,GA,3,FUEL COMB. OTHER,CO,1996,71.6951
151,13,GA,4,CHEMICAL & ALLIED PRODUCT MFG,CO,1996,0.001
152,13,GA,5,METALS PROCESSING,CO,1996,2.50254
153,13,GA,6,PETROLEUM & RELATED INDUSTRIES,CO,1996,0.76422
154,13,GA,7,OTHER INDUSTRIAL PROCESSES,CO,1996,124.00094
155,13,GA,8,SOLVENT UTILIZATION,CO,1996,0.00494
156,13,GA,9,STORAGE & TRANSPORT,CO,1996,0.01266
157,13,GA,10,WASTE DISPOSAL & RECYCLING,CO,1996,179.48449
158,13,GA,11,HIGHWAY VEHICLES,CO,1996,2830.11328
159,13,GA,12,OFF-HIGHWAY,CO,1996,699.59332
160,13,GA,14,MISCELLANEOUS,CO,1996,132.10396
161,13,GA,15,WILDFIRES,CO,1996,NA
162,13,GA,16,PRESCRIBED FIRES,CO,1996,NA
163,15,HI,1,FUEL COMB. ELEC. UTIL.,CO,1996,4.27333
164,15,HI,2,FUEL COMB. INDUSTRIAL,CO,1996,6.2928
165,15,HI,3,FUEL COMB. OTHER,CO,1996,0.03704
166,15,HI,4,CHEMICAL & ALLIED PRODUCT MFG,CO,1996,NA
167,15,HI,5,METALS PROCESSING,CO,1996,NA
168,15,HI,6,PETROLEUM & RELATED INDUSTRIES,CO,1996,0.06724
169,15,HI,7,OTHER INDUSTRIAL PROCESSES,CO,1996,0.04324
170,15,HI,8,SOLVENT UTILIZATION,CO,1996,NA
171,15,HI,9,STORAGE & TRANSPORT,CO,1996,NA
172,15,HI,10,WASTE DISPOSAL & RECYCLING,CO,1996,0.81748
173,15,HI,11,HIGHWAY VEHICLES,CO,1996,258.16487
174,15,HI,12,OFF-HIGHWAY,CO,1996,96.58826
175,15,HI,14,MISCELLANEOUS,CO,1996,3.17926
176,15,HI,15,WILDFIRES,CO,1996,NA
177,15,HI,16,PRESCRIBED FIRES,CO,1996,NA
178,16,ID,1,FUEL COMB. ELEC. UTIL.,CO,1996,NA
179,16,ID,2,FUEL COMB. INDUSTRIAL,CO,1996,2.81142
180,16,ID,3,FUEL COMB. OTHER,CO,1996,13.82954
181,16,ID,4,CHEMICAL & ALLIED PRODUCT MFG,CO,1996,0.0069
182,16,ID,6,PETROLEUM & RELATED INDUSTRIES,CO,1996,NA
183,16,ID,7,OTHER INDUSTRIAL PROCESSES,CO,1996,3.14799
184,16,ID,8,SOLVENT UTILIZATION,CO,1996,NA
185,16,ID,9,STORAGE & TRANSPORT,CO,1996,NA
186,16,ID,10,WASTE DISPOSAL & RECYCLING,CO,1996,16.0619
187,16,ID,11,HIGHWAY VEHICLES,CO,1996,446.67839
188,16,ID,12,OFF-HIGHWAY,CO,1996,139.01001
189,16,ID,14,MISCELLANEOUS,CO,1996,3221.37093
190,16,ID,15,WILDFIRES,CO,1996,NA
191,16,ID,16,PRESCRIBED FIRES,CO,1996,NA
192,17,IL,1,FUEL COMB. ELEC. UTIL.,CO,1996,11.77582
193,17,IL,2,FUEL COMB. INDUSTRIAL,CO,1996,15.96052
194,17,IL,3,FUEL COMB. OTHER,CO,1996,91.15134
