,State.Code,State.Name,Tier 1 Code,Tier 1 Description,Pollutant,year,Sum
335,26,MI,9,STORAGE & TRANSPORT,SO2,1996,0.00014
336,26,MI,10,WASTE DISPOSAL & RECYCLING,SO2,1996,1.6122
337,26,MI,11,HIGHWAY VEHICLES,SO2,1996,10.94926
338,26,MI,12,OFF-HIGHWAY,SO2,1996,12.42752
339,26,MI,14,MISCELLANEOUS,SO2,1996,0.00487
340,26,MI,15,WILDFIRES,SO2,1996,NA
341,26,MI,16,PRESCRIBED FIRES,SO2,1996,NA
342,27,MN,1,FUEL COMB. ELEC. UTIL.,SO2,1996,87.32344
343,27,MN,2,FUEL COMB. INDUSTRIAL,SO2,1996,31.31911
344,27,MN,3,FUEL COMB. OTHER,SO2,1996,5.62832
345,27,MN,4,CHEMICAL & ALLIED PRODUCT MFG,SO2,1996,1.57267
346,27,MN,5,METALS PROCESSING,SO2,1996,2.47839
347,27,MN,6,PETROLEUM & RELATED INDUSTRIES,SO2,1996,2.58389
348,27,MN,7,OTHER INDUSTRIAL PROCESSES,SO2,1996,1.14176
349,27,MN,8,SOLVENT UTILIZATION,SO2,1996,NA
350,27,MN,9,STORAGE & TRANSPORT,SO2,1996,0.0108
351,27,MN,10,WASTE DISPOSAL & RECYCLING,SO2,1996,1.01105
352,27,MN,11,HIGHWAY VEHICLES,SO2,1996,5.52777
353,27,MN,12,OFF-HIGHWAY,SO2,1996,12.25886
354,27,MN,14,MISCELLANEOUS,SO2,1996,0.03467
355,27,MN,15,WILDFIRES,SO2,1996,NA
356,27,MN,16,PRESCRIBED FIRES,SO2,1996,NA
357,28,MS,1,FUEL COMB. ELEC. UTIL.,SO2,1996,114.29253
358,28,MS,2,FUEL COMB. INDUSTRIAL,SO2,1996,88.27892
359,28,MS,3,FUEL COMB. OTHER,SO2,1996,1.12744
360,28,MS,4,CHEMICAL & ALLIED PRODUCT MFG,SO2,1996,2.42104
361,28,MS,5,METALS PROCESSING,SO2,1996,0.05446
362,28,MS,6,PETROLEUM & RELATED INDUSTRIES,SO2,1996,1.30199
363,28,MS,7,OTHER INDUSTRIAL PROCESSES,SO2,1996,15.70307
364,28,MS,8,SOLVENT UTILIZATION,SO2,1996,0.00252
365,28,MS,9,STORAGE & TRANSPORT,SO2,1996,1.421
366,28,MS,10,WASTE DISPOSAL & RECYCLING,SO2,1996,0.1093
367,28,MS,11,HIGHWAY VEHICLES,SO2,1996,3.99132
368,28,MS,12,OFF-HIGHWAY,SO2,1996,9.38113
369,28,MS,14,MISCELLANEOUS,SO2,1996,0.07697
370,28,MS,15,WILDFIRES,SO2,1996,NA
371,28,MS,16,PRESCRIBED FIRES,SO2,1996,NA
372,29,MO,1,FUEL COMB. ELEC. UTIL.,SO2,1996,364.48944
373,29,MO,2,FUEL COMB. INDUSTRIAL,SO2,1996,33.37243
374,29,MO,3,FUEL COMB. OTHER,SO2,1996,11.40115
375,29,MO,4,CHEMICAL & ALLIED PRODUCT MFG,SO2,1996,0.54259
376,29,MO,5,METALS PROCESSING,SO2,1996,94.73132
377,29,MO,6,PETROLEUM & RELATED INDUSTRIES,SO2,1996,0.10835
378,29,MO,7,OTHER INDUSTRIAL PROCESSES,SO2,1996,9.43922
379,29,MO,8,SOLVENT UTILIZATION,SO2,1996,0.00095
380,29,MO,9,STORAGE & TRANSPORT,SO2,1996,0.00483
381,29,MO,10,WASTE DISPOSAL & RECYCLING,SO2,1996,0.32357
382,29,MO,11,HIGHWAY VEHICLES,SO2,1996,7.55528
383,29,MO,12,OFF-HIGHWAY,SO2,1996,12.08946
384,29,MO,14,MISCELLANEOUS,SO2,1996,0.11139
385,29,MO,15,WILDFIRES,SO2,1996,NA
