"","State Code","State","Tier 1 Code","pollutant","year","Sum"
"157","08","CO","05","METALS PROCESSING_CO",1996,"8.19721"
"158","08","CO","05","METALS PROCESSING_SO2",1996,"0.32479"
"159","08","CO","06","PETROLEUM & RELATED INDUSTRIES_CO",1996,"0.56726"
"160","08","CO","06","PETROLEUM & RELATED INDUSTRIES_SO2",1996,"1.64557"
"161","08","CO","07","OTHER INDUSTRIAL PROCESSES_CO",1996,"1.6862"
"162","08","CO","07","OTHER INDUSTRIAL PROCESSES_SO2",1996,"4.18623"
"163","08","CO","08","SOLVENT UTILIZATION_CO",1996,"0.00534"
"164","08","CO","08","SOLVENT UTILIZATION_SO2",1996,"0.00702"
"165","08","CO","09","STORAGE & TRANSPORT_CO",1996,"0.07161"
"166","08","CO","09","STORAGE & TRANSPORT_SO2",1996,"0.00185"
"167","08","CO","10","WASTE DISPOSAL & RECYCLING_CO",1996,"50.82767"
"168","08","CO","10","WASTE DISPOSAL & RECYCLING_SO2",1996,"0.20246"
"169","08","CO","11","HIGHWAY VEHICLES_CO",1996,"1356.19722"
"170","08","CO","11","HIGHWAY VEHICLES_SO2",1996,"4.41902"
"171","08","CO","12","OFF-HIGHWAY_CO",1996,"393.22042"
"172","08","CO","12","OFF-HIGHWAY_SO2",1996,"4.73839"
"173","08","CO","14","MISCELLANEOUS_CO",1996,"244.53413"
"174","08","CO","14","MISCELLANEOUS_SO2",1996,"0.25757"
"175","08","CO","15","WILDFIRES_CO",1996,NA
"176","08","CO","15","WILDFIRES_SO2",1996,NA
"177","08","CO","16","PRESCRIBED FIRES_CO",1996,NA
"178","08","CO","16","PRESCRIBED FIRES_SO2",1996,NA
"179","09","CT","01","FUEL COMB. ELEC. UTIL._CO",1996,"1.29242"
"180","09","CT","01","FUEL COMB. ELEC. UTIL._SO2",1996,"36.45895"
"181","09","CT","02","FUEL COMB. INDUSTRIAL_CO",1996,"1.12281"
"182","09","CT","02","FUEL COMB. INDUSTRIAL_SO2",1996,"4.23035"
"183","09","CT","03","FUEL COMB. OTHER_CO",1996,"28.44095"
"184","09","CT","03","FUEL COMB. OTHER_SO2",1996,"2.10829"
"185","09","CT","04","CHEMICAL & ALLIED PRODUCT MFG_CO",1996,NA
"186","09","CT","04","CHEMICAL & ALLIED PRODUCT MFG_SO2",1996,"0.00105"
"187","09","CT","05","METALS PROCESSING_CO",1996,NA
"188","09","CT","05","METALS PROCESSING_SO2",1996,"0.00043"
"189","09","CT","06","PETROLEUM & RELATED INDUSTRIES_CO",1996,"0.0204"
"190","09","CT","06","PETROLEUM & RELATED INDUSTRIES_SO2",1996,"0.0504"
"191","09","CT","07","OTHER INDUSTRIAL PROCESSES_CO",1996,"0.01185"
"192","09","CT","07","OTHER INDUSTRIAL PROCESSES_SO2",1996,"0.26916"
"193","09","CT","08","SOLVENT UTILIZATION_CO",1996,"0.00038"
"194","09","CT","08","SOLVENT UTILIZATION_SO2",1996,"0.00005"
"195","09","CT","09","STORAGE & TRANSPORT_CO",1996,NA
"196","09","CT","09","STORAGE & TRANSPORT_SO2",1996,NA
"197","09","CT","10","WASTE DISPOSAL & RECYCLING_CO",1996,"34.9599"
